Number,DEB Stylized Fact,Accuracy,I have an explanation,Importance
101,"Metabolic rate increases with body mass, but not proportionally – it follows an allometric relationship (typically scales as $\propto$ mass$^{3/4}$).",,,
102,There is a relationship between body mass and lifespan: larger animals grow slower and live longer.,,,
103,"Food intake capacity is limited by body surface area, while maintenance needs are proportional to volume.",,,
104,Time to puberty and total lifespan increase with body mass – so-called life-history invariants.,,,
105,Maximum assimilation rate scales with body mass to a power less than 1.,,,
106,"Maintenance rate per unit structure is constant within species, but varies between species.",,,
107,Reproductive output scales with body mass through the same power as basal metabolism.,,,
108,Assimilation efficiency decreases with size due to geometric constraints.,,,
109,Surface area-to-volume ratio determines metabolic constraints for material transport and heat.,,,
110,Allometric exponent for heart rate is negative ($\sim$-0.25).,,,
111,Breathing rate scales negatively with body mass across species.,,,
112,Blood circulation time increases with body size due to longer transport distances.,,,
113,Metabolic scope (difference between maximum and resting metabolic rate) scales with body mass.,,,
114,Digestive tract length scales with body mass and dietary requirements.,,,
115,"Brain mass scales differently from body mass, typically with a lower allometric exponent.",,,
116,Kidney filtration rate scales with metabolic rate and body mass.,,,
117,Bone strength scales with body mass to ensure structural integrity.,,,
118,Muscle mass proportion decreases with increasing body size in most taxa.,,,
119,Heat production rate scales with metabolic rate and affects thermoregulatory strategies.,,,
120,Oxygen consumption rate per unit mass decreases with increasing body size.,,,
121,Swimming speed in aquatic animals scales positively with body length.,,,
122,Flight metabolic rate in birds scales differently from terrestrial locomotion costs.,,,
123,Dive duration in aquatic mammals scales with body mass and oxygen storage capacity.,,,
124,Territory size scales with body mass and energy requirements in many species.,,,
125,Foraging range increases with body size to meet elevated energy demands.,,,
126,Daily energy expenditure scales with body mass but varies with activity patterns.,,,
127,Seasonal fat storage capacity scales with body mass and climate adaptations.,,,
128,Hibernation metabolic depression is more pronounced in smaller mammals.,,,
129,Migration distance correlates with body size and energy storage capabilities.,,,
130,Immune system investment scales with body mass and pathogen exposure risk.,,,
131,Wound healing rate decreases with body size due to circulatory constraints.,,,
132,Sensory organ size scales differently from body mass depending on function.,,,
133,Reproductive organ size scales with body mass and mating system characteristics.,,,
134,Gestation time increases with body mass and offspring development requirements.,,,
135,Litter size typically decreases with increasing maternal body mass.,,,
136,Parental care duration scales with offspring development time and body size.,,,
137,Age at first reproduction increases with adult body size across taxa.,,,
138,Maximum population density decreases with average individual body mass.,,,
139,Home range size scales with body mass and resource distribution patterns.,,,
