Number,DEB Stylized Fact,Accuracy,I have an explanation,Importance
301,"Energy investment in reproduction is proportional to adult body size, not number of offspring.",,,
302,All species have a trade-off between offspring size and number (few large or many small).,,,
303,"Egg cells or embryos have a certain amount of initial reserve (E$_0$), independent of environmental conditions.",,,
304,Reproductive efficiency declines with age due to accumulation of damage.,,,
305,Investment in offspring is optimized according to expected reproductive value.,,,
306,Seasonal reproduction is linked to cyclical resources and energy capacity.,,,
307,"Sexual maturation depends on accumulated maturation energy, not chronological age.",,,
308,Parental investment continues after laying/birth through lactation or care.,,,
309,Clutch or litter size is optimized according to available resources and mortality.,,,
310,Iterative vs. semelparous reproductive strategies reflect different life cycles.,,,
311,Reproductive allocation increases with body size but plateaus at maximum energy availability.,,,
312,Gamete production costs scale with reproductive output and offspring size requirements.,,,
313,Mating effort competes with reproductive energy allocation for available resources.,,,
314,Reproductive timing optimization balances offspring survival against parental survival costs.,,,
315,Sex allocation strategies reflect energy investment trade-offs between male and female offspring.,,,
316,Reproductive senescence results from declining energy allocation efficiency with age.,,,
317,Breeding frequency depends on recovery time between reproductive efforts and energy accumulation.,,,
318,Offspring provisioning strategies vary with environmental predictability and resource availability.,,,
319,Reproductive investment flexibility allows adjustment to current environmental conditions.,,,
320,Mate choice affects reproductive energy allocation through selection for optimal partners.,,,
321,Reproductive success depends on both energy allocation quantity and timing optimization.,,,
322,Parental care duration reflects trade-offs between offspring quality and quantity.,,,
323,Reproductive lifespan correlates with maintenance efficiency and damage accumulation rates.,,,
324,Breeding season length affects total reproductive energy allocation and offspring production.,,,
325,Reproductive storage mechanisms enable reproduction during periods of low energy intake.,,,
326,Offspring size optimization depends on juvenile survival probability and growth requirements.,,,
327,Reproductive competition intensity affects energy allocation between reproduction and survival.,,,
328,Sexual dimorphism in energy allocation reflects different reproductive strategies between sexes.,,,
329,Reproductive skipping occurs when energy reserves are insufficient for successful reproduction.,,,
330,Nest building and territory defense costs must be included in total reproductive energy budgets.,,,
331,Reproductive hormone production requires energy allocation that competes with other functions.,,,
332,"Multiple mating costs include energy for mate searching, competition, and copulation.",,,
333,Reproductive organ development and maintenance require continuous energy investment.,,,
334,Spawning migration costs represent significant reproductive energy expenditure in many species.,,,
335,Reproductive output variability reflects fluctuations in energy availability and allocation efficiency.,,,
336,Alternative reproductive strategies emerge from different energy allocation optimization solutions.,,,
337,Reproductive investment protection mechanisms prevent energy reallocation during critical periods.,,,
338,Social reproductive systems affect individual energy allocation through cooperative and competitive interactions.,,,
339,Reproductive timing cues integrate environmental signals with internal energy state assessment.,,,
340,Maternal effect investments transfer energy reserves to offspring through various provisioning mechanisms.,,,
341,Reproductive effort scaling ensures appropriate investment relative to body size and condition.,,,
342,Paternal investment strategies reflect species-specific energy allocation patterns and mating systems.,,,
343,Reproductive failure recovery requires energy reallocation to restore reproductive capacity.,,,
344,Breeding habitat quality affects reproductive energy allocation efficiency and success rates.,,,
345,Reproductive synchrony within populations optimizes resource utilization and offspring survival.,,,
346,Age-specific reproductive investment reflects changing survival probability and future reproductive potential.,,,
347,Reproductive technology utilization by organisms includes tools and structures requiring energy investment.,,,
348,Environmental reproductive cues trigger energy reallocation from growth and maintenance to reproduction.,,,
349,Reproductive conflict resolution mechanisms determine energy allocation in social breeding systems.,,,
350,Multiple reproductive cycles within seasons require efficient energy allocation and recovery mechanisms.,,,
351,Reproductive investment heritability suggests genetic control of energy allocation reproductive strategies.,,,
352,Cross-generational reproductive effects involve energy transfer patterns affecting offspring reproductive potential.,,,
353,Reproductive system complexity increases energy allocation requirements for maintenance and function.,,,
354,Environmental reproductive stress affects energy allocation efficiency and reproductive output quality.,,,
355,"Reproductive behavior energy costs include courtship, mate guarding, and territorial defense activities.",,,
356,Adaptive reproductive plasticity allows energy allocation adjustment to environmental variability.,,,
357,Reproductive biomarker development reflects underlying energy allocation patterns and reproductive state.,,,
358,Lifetime reproductive success optimization involves energy allocation trade-offs across multiple breeding attempts.,,,
359,Reproductive isolation mechanisms require energy investment that competes with reproductive output.,,,
360,Environmental reproductive signals synchronize energy allocation with optimal breeding conditions.,,,
361,Reproductive energy storage efficiency affects breeding frequency and reproductive lifespan.,,,
362,Cooperative breeding systems redistribute reproductive energy allocation among group members.,,,
363,Reproductive phenology shifts reflect adaptive responses to changing energy availability patterns.,,,
364,Reproductive success measurement requires accounting for energy allocation efficiency and offspring quality.,,,
365,Alternative mating strategies involve different energy allocation patterns between reproductive tactics.,,,
366,Reproductive system evolution reflects optimization of energy allocation under specific ecological constraints.,,,
367,Post-reproductive survival in some species requires continued energy allocation for offspring success.,,,
368,Reproductive energy allocation modeling requires integration of multiple competing demands and constraints.,,,
369,Environmental reproductive disruption affects energy allocation patterns and reproductive timing.,,,
370,Reproductive investment recovery time affects breeding frequency and lifetime reproductive output.,,,
371,Sex-specific reproductive costs create different energy allocation optimization solutions for males and females.,,,
372,Reproductive habitat selection involves energy costs that affect total reproductive energy budgets.,,,
