Number,DEB Stylized Fact,Accuracy,I have an explanation,Importance
1101,Toxins increase maintenance costs proportional to concentration in the body and toxicity.,,,
1102,Bioaccumulation of toxins follows simple dynamics determined by uptake and elimination rates.,,,
1103,Critical concentration of toxins in the body determines the onset of toxic effects on metabolism.,,,
1104,Detoxification consumes energy from reserves and can compete with growth and reproduction.,,,
1105,Toxins can block assimilation by reducing food utilization efficiency.,,,
1106,Reproduction is most sensitive to toxins because it requires more energy than maintenance.,,,
1107,Toxin elimination follows first-order kinetics with species-specific rates.,,,
1108,Older organisms accumulate more toxins due to longer exposure time.,,,
1109,Toxic effects are reversible if concentration falls below critical level.,,,
1110,Toxin mixtures can act synergistically increasing total maintenance costs.,,,
1111,Pulsed toxin exposure has different effects than continuous exposure.,,,
1112,Recovery from toxic stress requires additional energy for metabolic process repair.,,,
1113,Toxin tolerance can develop through increased detoxification capacity.,,,
1114,Maternal transfer of toxins affects initial offspring state (E$_0$ and toxic loads).,,,
1115,Sublethal toxin effects can delay puberty by increasing required maturation energy.,,,
1116,Toxins can reduce fertility by affecting energy available for reproduction.,,,
1117,Biomarkers like condition factor reflect toxic stress through changes in reserves.,,,
1118,Combination of starvation and toxins is particularly dangerous as it reduces energy available for detoxification.,,,
1119,Temperature affects toxicity by changing metabolism and elimination rates.,,,
1120,Lipophilic toxins are stored in energy reserves and released during fat mobilization.,,,
1121,Population effects of toxins can be predicted from individual DEB-tox parameters.,,,
1122,Chronic toxicity often results in reduced reproductive output before affecting survival.,,,
1123,Toxins change population age structure through differential sensitivity of life stages.,,,
1124,Early life stages are most sensitive to toxins due to high energy requirements for growth.,,,
1125,Endocrine disruptors affect hormonal signals that regulate DEB processes.,,,
1126,Biomarkers of effect include changes in DEB parameters like growth and reproduction rates.,,,
1127,Population recovery time depends on generation time and degree of toxic damage.,,,
1128,Toxins can change offspring sex ratio through effects on energy allocation during embryogenesis.,,,
1129,Multi-generational effects occur when toxins affect maternal investment in offspring.,,,
1130,Density-dependent effects can mask toxicity through reduced competitiveness of contaminated populations.,,,
